name2,start,end,chr
LOC105375123,1604808,1604808,7
TFAMP1,1616692,1616692,7
LOC105375303,1616879,1631514,7
LOC107986757,1642739,1642739,7
LNCRI,1695527,1695527,7
LOC105375124,1725395,1725395,7
ELFN1-AS1,1742310,1742310,7
ELFN1,1744596,1747083,7
MAD1L1,1816069,2230133,7
LOC105375128,1819236,1819236,7
MIR4655,1844253,1844253,7
LOC100127955,1853699,1853699,7
SNORA114,2089052,2089052,7
LOC105375127,2117740,2117740,7
LOC105375126,2205792,2205792,7
MRM2,2235121,2242169,7
NUDT1,2242991,2251001,7
SNX8,2255055,2314421,7
MIR6836,2257577,2257577,7
EIF3B,2354921,2379497,7
CHST12,2432639,2448484,7
GRIFIN,2475136,2476855,7
LOC107986758,2494010,2494010,7
LOC107986759,2509071,2509071,7
LFNG,2512654,2528886,7
MIR4648,2527145,2527145,7
BRAT1,2538068,2555758,7
IQCE,2559181,2610162,7
LOC107986760,2621516,2624831,7
TTYH3,2632155,2661739,7
AMZ1,2700451,2764860,7
GNA12,2731180,2870641,7
CARD11,2906637,3043940,7
LOC101927256,2947091,2947091,7
LOC107986761,2994793,2994793,7
LOC105375130,3101387,3118101,7
LOC100129603,3158573,3158573,7
SDK1,3301586,4268750,7
LOC105375132,3303647,3303647,7
LOC105375131,4128496,4137206,7
LOC105375133,4569716,4569716,7
FOXK1,4675254,4762464,7
AP5Z1,4775715,4791764,7
MIR4656,4788639,4788639,7
RADIL,4799377,4878139,7
SNORD165,4837450,4837450,7
PAPOLB,4859896,4861810,7
MMD2,4907395,4959213,7
RNF216P1,4998169,4998169,7
RBAK,5048076,5065601,7
RBAK-RBAKDN,5048076,5072465,7
RBAKDN,5073223,5073223,7
ZNF890P,5144546,5144546,7
WIPI2,5190419,5230947,7
SLC29A4,5287816,5302939,7
TNRC18,5308105,5421246,7
LOC100129484,5427582,5428248,7
FBXL18,5454499,5513674,7
MIR589,5495917,5495917,7
LOC221946,5525545,5525545,7
ACTB,5527747,5529657,7
FSCN1,5592936,5605474,7
LOC107986762,5607428,5616092,7
RNF216,5622859,5761069,7
RNF216-IT1,5680461,5680461,7
MIR6874,5711910,5711910,7
ZNF815P,5854435,5854435,7
OCM,5880889,5886089,7
CCZ1,5898799,5925687,7
LOC107986694,5925671,5925671,7
RSPH10B,5926367,5967116,7
PMS2,5973398,6009106,7
AIMP2,6009363,6023691,7
SNORA80D,6017011,6017011,7
EIF2AK1,6024672,6059083,7
ANKRD61,6031375,6036386,7
USP42,6111133,6161564,7
CYTH3,6164943,6272507,7
FAM220A,6330374,6331154,7
RAC1,6374735,6402446,7
DAGLB,6409836,6447842,7
KDELR2,6462965,6484057,7
GRID2IP,6497773,6551436,7
LOC101927325,6510054,6517035,7
ZDHHC4,6578663,6588910,7
C7orf26,6590283,6608520,7
ZNF853,6616174,6622971,7
ZNF316,6642409,6654611,7
ZNF12,6690847,6705173,7
PMS2CL,6751601,6751601,7
RSPH10B2,6757677,6798543,7
CCZ1B,6799223,6826197,7
LOC107986696,6801029,6801029,7
LOC112267992,6955430,6959989,7
LOC107986763,6987583,6987583,7
MIR3683,7067045,7067045,7
LOC100131257,7096786,7096786,7
LOC105375138,7103711,7111751,7
C1GALT1,7182813,7243727,7
LOC101927354,7278069,7278069,7
COL28A1,7358632,7537117,7
LOC107986764,7377823,7377823,7
LOC101927391,7566065,7566065,7
MIOS,7572475,7607092,7
RPA3,7636999,7640418,7
UMAD1,7673371,7877538,7
LOC105379719,7796964,7796964,7
LOC100505921,7968752,7968752,7
GLCCI1,7969350,8086538,7
LOC105375142,8095687,8095687,7
ICA1,8113922,8262281,7
LOC100505938,8343281,8343281,7
NXPH1,8435713,8751769,7
LOC105375144,8630392,8632854,7
PER4,9635817,9635817,7
LOC105375145,9667188,9667188,7
LOC105375148,9769513,9769514,7
LOC105375147,9929556,9929556,7
LOC105375146,9986412,9986412,7
LOC105375149,10157065,10157065,7
LOC105375150,10215733,10215733,7
LOC107986766,10675482,10675482,7
LOC100131472,10707538,10707538,7
MGC4859,10779944,10779944,7
NDUFA4,10933635,10940057,7
LOC107986767,10968434,10968434,7
PHF14,10974323,11188550,7
LOC107986697,11215395,11215395,7
THSD7A,11375793,11832197,7
LOC105375153,11385952,11385952,7
LOC105375151,11589677,11592850,7
TMEM106B,12214810,12231975,7
VWDE,12331182,12403941,7
LOC105375154,12407895,12407895,7
LOC105375155,12443799,12443799,7
LOC105375156,12496343,12496343,7
LOC102725191,12541135,12541135,7
SCIN,12570786,12653603,7
LOC107986769,12588821,12588821,7
LOC107986768,12595331,12595331,7
LOC105375157,12675590,12675590,7
ARL4A,12688254,12688857,7
LOC105375158,13061997,13061997,7
LOC107986770,13702705,13702705,7
LOC105375161,13733958,13733958,7
ETV1,13895865,13990702,7
LOC105375162,14061781,14061781,7
DGKB,14149130,14902957,7
LOC105375164,14387079,14387079,7
AGMO,15158355,15562015,7
MEOX2,15612386,15686402,7
LOC105375166,15681980,15681980,7
MEOX2-AS1,15696892,15696892,7
LOC101927558,15722020,15727963,7
LOC105375167,15803161,15803161,7
ISPD,16091694,16421505,7
ISPD-AS1,16270604,16270604,7
SOSTDC1,16462547,16465668,7
LOC105375168,16471809,16471809,7
LRRC72,16526952,16581489,7
ANKMY2,16600760,16645573,7
LOC105375169,16617555,16617555,7
BZW2,16665443,16706523,7
TSPAN13,16753967,16783491,7
AGR2,16792907,16801796,7
AGR3,16854913,16878618,7
LOC105375170,17033661,17033661,7
LOC107986772,17227781,17227781,7
LOC101927609,17298538,17298538,7
AHR,17299264,17343064,7
LOC105375171,17373084,17373084,7
LOC105375172,17463138,17463138,7
KCCAT333,17467256,17467256,7
LOC101927630,17558909,17558909,7
SNX13,17794044,17940508,7
PRPS1L1,18026825,18027782,7
MIR1302-6,18127309,18127309,7
HDAC9,18162324,18996062,7
LOC107986698,18328125,18328125,7
LOC105375176,18904494,18904494,7
TWIST1,19116712,19117672,7
FERD3L,19144861,19145362,7
LOC107986773,19334273,19334273,7
LOC105375179,19405829,19405829,7
LOC105375180,19669551,19669551,7
TWISTNB,19698315,19709016,7
MIR3146,19705436,19705436,7
TMEM196,19722074,19772696,7
LOC107986774,19814347,19814347,7
LOC105379720,19834795,19834795,7
LOC105375181,20120764,20120764,7
LOC101927668,20140426,20140426,7
MACC1,20140945,20161862,7
MACC1-AS1,20153531,20153531,7
LOC100506098,20221700,20221700,7
LOC101927769,20311712,20311712,7
ITGB8,20330350,20409997,7
LOC101927811,20331762,20331762,7
ABCB5,20623285,20755624,7
SP8,20784289,20786798,7
RPL23P8,20827820,20827820,7
LINC01162,21023148,21023148,7
SP4,21428251,21511269,7
MIR1183,21471146,21471146,7
DNAH11,21543245,21901254,7
LOC105375183,21577954,21577954,7
LOC107986775,21827220,21827220,7
CDCA7L,21902321,21945804,7
LOC102724143,22112612,22112612,7
RAPGEF5,22122405,22357060,7
LOC105375184,22219859,22219859,7
STEAP1B,22419803,22494855,7
LOC100506178,22573998,22573998,7
LOC401312,22665533,22665533,7
IL6,22727262,22731573,7
LOC541472,22727620,22727620,7
TOMM7,22813169,22822779,7
LOC112267993,22835028,22835028,7
SNORD93,22856686,22856686,7
SNHG26,22861436,22861436,7
LOC107986776,22891431,22891431,7
FAM126A,22895996,22991111,7
LOC105375185,23030389,23030389,7
LOC105375186,23099195,23099195,7
KLHL7-AS1,23105703,23105703,7
KLHL7,23106026,23175421,7
NUPL2,23182085,23201011,7
LOC101927890,23238635,23239759,7
GPNMB,23246857,23274224,7
MALSU1,23299352,23309543,7
IGF2BP3,23312361,23470110,7
SNORD65C,23396516,23396516,7
RPS2P32,23491428,23491428,7
TRA2A,23505558,23531824,7
CLK2P1,23586527,23586527,7
LOC105375187,23597266,23597266,7
CCDC126,23611315,23643115,7
FAM221A,23680218,23703249,7
STK31,23710174,23832513,7
LOC105375188,24027849,24027849,7
LOC107986777,24173338,24445402,7
NPY,24285240,24291687,7
LOC107986778,24435714,24435714,7
MPP6,24623667,24687614,7
GSDME,24699025,24749774,7
LOC107986779,24795589,24795589,7
OSBPL3,24800182,24980218,7
CYCS,25123700,25124119,7
C7orf31,25135971,25179308,7
LOC105375191,25193823,25193823,7
NPVF,25225121,25228439,7
LOC105375193,25321920,25321920,7
LOC105375194,25333714,25333714,7
LOC105375195,25358335,25358335,7
LOC105375196,25496741,25496741,7
LOC646588,25594687,25790051,7
LOC100506236,25832363,25833086,7
LOC105375200,25946498,25946498,7
MIR148A,25949986,25949986,7
LOC105375199,26073380,26130953,7
LOC105375198,26117082,26123244,7
NFE2L3,26152498,26185783,7
HNRNPA2B1,26192515,26200775,7
CBX3,26202998,26212208,7
SNX10,26346442,26372572,7
LOC105375304,26376269,26399418,7
LOC441204,26399655,26540950,7
LOC105375202,26431549,26431549,7
KIAA0087,26538825,26538825,7
LOC100506289,26557200,26567772,7
LOC101928077,26623449,26623449,7
C7orf71,26638408,26646540,7
SKAP2,26670099,26864429,7
HOXA1,27094439,27095912,7
HOTAIRM1,27100258,27100258,7
HOXA2,27100725,27102500,7
HOXA3,27107914,27110640,7
HOXA-AS2,27128760,27128760,7
HOXA4,27129224,27130733,7
HOXA5,27141834,27143607,7
HOXA6,27145657,27147749,7
HOXA7,27154908,27156545,7
HOXA-AS3,27155928,27155928,7
HOXA9,27163602,27165457,7
MIR196B,27169563,27169563,7
HOXA10,27171898,27180261,7
HOXA10-AS,27171915,27171915,7
HOXA10-HOXA9,27180261,27180261,7
HOXA11,27182795,27185144,7
HOXA11-AS,27189293,27189293,7
HOXA13,27198197,27200077,7
HOTTIP,27207259,27207259,7
EVX1,27243030,27246425,7
EVX1-AS,27247229,27247229,7
LOC107986733,27346770,27346770,7
LOC105375206,27381328,27381328,7
LOC105375207,27409902,27410480,7
HIBADH,27526213,27662788,7
LOC107986699,27609821,27609821,7
TSL,27627492,27627492,7
LOC105375211,27657147,27657147,7
LOC105375210,27740101,27740101,7
TAX1BP1,27748524,27828829,7
JAZF1,27832799,28180577,7
LOC105375208,28058083,28058083,7
JAZF1-AS1,28241377,28241377,7
CREB5,28409782,28825894,7
TRIL,28955610,28958046,7
CPVL,28995771,29121061,7
LOC100506497,29013369,29013369,7
LOC107986703,29082527,29082527,7
LOC101928168,29128172,29128172,7
CHN2,29146583,29514335,7
LOC102724484,29208970,29208970,7
LOC107986700,29563796,29563796,7
PRR15,29566329,29566719,7
LOC105375213,29645177,29645177,7
MIR550A3,29680828,29680828,7
LOC646762,29685138,29685138,7
ZNRF2P2,29685821,29685821,7
DPY19L2P3,29688243,29688243,7
LOC107986726,29694430,29705743,7
LOC101928208,29720554,29742267,7
WIPF3,29834724,29914516,7
SCRN1,29923956,29990240,7
FKBP14,30014734,30026801,7
LOC105375215,30026079,30026079,7
PLEKHA8,30028762,30129285,7
LOC105375216,30134741,30134741,7
MTURN,30135136,30157548,7
LOC105375217,30179522,30179522,7
ZNRF2,30285357,30362434,7
LOC105375218,30286085,30286085,7
MIR550A1,30289890,30289890,7
MIR550B1,30289890,30289890,7
DKFZP586I1420,30372809,30372809,7
LINC01176,30404055,30404055,7
NOD1,30425637,30478866,7
LOC101928268,30460275,30469217,7
GGCT,30497091,30504841,7
LOC401320,30577779,30577779,7
GARS,30594921,30633860,7
CRHR2,30653459,30700033,7
LOC105375219,30728065,30728065,7
LOC105375220,30745898,30750364,7
INMT,30752150,30755851,7
MINDY4,30771493,30892005,7
INMT-MINDY4,30892387,30892387,7
AQP1,30911909,30924009,7
GHRHR,30964068,30979244,7
LOC105375222,30997381,31031031,7
LOC105375221,31009749,31009749,7
ADCYAP1R1,31063264,31106684,7
LOC107986780,31124016,31124016,7
LOC107986781,31161432,31208424,7
LOC107986782,31236979,31236979,7
NEUROD6,31338254,31339268,7
LOC105375224,31416935,31416935,7
CCDC129,31529768,31658392,7
PPP1R17,31692441,31710158,7
PDE1C,31753383,32428131,7
LOC100130673,32458494,32458494,7
LSM5,32487260,32490863,7
AVL9,32495709,32584046,7
DPY19L1P1,32719168,32719168,7
ZNRF2P1,32729983,32729983,7
MIR550A2,32733077,32733077,7
MIR550B2,32733077,32733077,7
LINC00997,32762924,32762924,7
DPY19L1P2,32838744,32838744,7
KBTBD2,32869344,32879604,7
RP9P,32943170,32943170,7
FKBP9,32957573,33005351,7
NT5C3A,33014729,33062705,7
RP9,33095233,33109372,7
BBS9,33146252,33635271,7
FLJ20712,33727629,33728265,7
BMPER,33905613,34153273,7
NPSR1,34658412,34878184,7
NPSR1-AS1,34758272,34834331,7
DPY19L1,34931572,35037896,7
MIR548N,34940834,34940834,7
LOC102724723,34945430,34948608,7
LOC105375228,35113170,35113170,7
DPY19L2P1,35186162,35186162,7
TBX20,35202429,35253620,7
LOC401324,35376476,35376476,7
LOC105375230,35387287,35387287,7
LOC105375231,35609712,35609712,7
LOC101928421,35631623,35631624,7
HERPUD2,35633689,35695811,7
LOC101930085,35699413,35699413,7
LOC100506725,35719712,35719712,7
SEPT7-AS1,35800625,35800625,7
SEPT7,35801209,35915748,7
LOC107986734,35991488,35991488,7
LOC105375233,36030574,36030574,7
LOC101928618,36100653,36100653,7
EEPD1,36154324,36299206,7
KIAA0895,36326759,36390074,7
ANLN,36390026,36452600,7
AOAH,36513031,36724148,7
AOAH-IT1,36600120,36600120,7
ELMO1,36855550,37448950,7
LOC105375235,36891895,36892690,7
MIR1200,36919432,36919432,7
ELMO1-AS1,37013630,37013630,7
GPR141,37685250,37741311,7
NME8,37850266,37897092,7
SFRP4,37907478,37916537,7
EPDR1,37920939,37950396,7
LOC105375236,38016576,38044135,7
STARD3NL,38207504,38228854,7
TARP,38240023,38265666,7
LOC107986784,38287024,38287024,7
TRG-AS1,38378637,38378637,7
AMPH,38384817,38631351,7
FAM183BP,38687089,38687089,7
VPS41,38726245,38909200,7
POU6F2,38977953,39464686,7
POU6F2-AS2,39013567,39013567,7
SNORA20B,39329134,39329134,7
LOC105375239,39338407,39338407,7
POU6F2-AS1,39406346,39406346,7
LOC105375238,39474451,39474455,7
LOC105375237,39522502,39522502,7
LOC105375240,39566364,39566364,7
YAE1D1,39566418,39609986,7
RALA,39623488,39706245,7
LOC107986785,39623535,39623535,7
LINC00265,39794623,39794623,7
LOC101928688,39899185,39899185,7
LOC112267983,39949649,39950363,7
CDK13,39950641,40094980,7
MPLKIP,40133058,40134567,7
SUGCT,40134999,40860479,7
LOC105375245,40299643,40299643,7
LOC107986786,40465331,40465331,7
LOC101928716,40548178,40548178,7
LOC105375244,40596393,40596393,7
LOC105375243,40711285,40711285,7
LOC112267984,40832693,40832693,7
LOC105375242,40897769,40902311,7
LINC01450,40979939,40979939,7
LINC01449,41133501,41133501,7
LOC105375241,41149795,41149795,7
LOC105375246,41355704,41355704,7
LOC107986787,41496309,41496309,7
LOC105379725,41594769,41594769,7
LOC105375247,41670757,41670757,7
LOC107986789,41683637,41683637,7
INHBA,41689649,41708880,7
INHBA-AS1,41713194,41779378,7
LOC107986788,41872347,41872347,7
LOC105375248,41936887,41936887,7
GLI3,41964329,42223253,7
LOC105375249,42338382,42338382,7
LOC105375250,42516746,42516746,7
LOC105375251,42598342,42598342,7
LINC01448,42706447,42706447,7
LOC107986735,42869276,42869276,7
C7orf25,42909634,42912067,7
PSMA2,42917573,42932158,7
MRPL32,42932386,42937857,7
LOC105375253,42956129,42956129,7
LOC107986790,43076516,43076516,7
HECW1,43112907,43561926,7
MIR3943,43150994,43150994,7
HECW1-IT1,43163187,43163187,7
LOC102724903,43301591,43301591,7
LUARIS,43522542,43522542,7
STK17A,43583243,43624842,7
COA1,43639581,43729541,7
BLVRA,43771158,43807235,7
LOC102724946,43839020,43839020,7
MRPS24,43866698,43869495,7
URGCP-MRPS24,43868985,43906575,7
URGCP,43876666,43906575,7
LOC107986791,43926135,43926786,7
UBE2D4,43926532,43955861,7
SPDYE1,43999949,44007768,7
POLR2J4,44019194,44019194,7
RASA4CP,44040623,44040623,7
LINC00957,44042483,44044296,7
DBNL,44044737,44060916,7
MIR6837,44051829,44051829,7
PGAM2,44062763,44065529,7
POLM,44073061,44082540,7
MIR6838,44073433,44073433,7
AEBP1,44104665,44114261,7
MIR4649,44110912,44110912,7
POLD2,44114784,44123668,7
MYL7,44138920,44141305,7
GCK,44144234,44188953,7
LOC105375258,44149772,44149772,7
LOC105375257,44184132,44184132,7
YKT6,44201135,44212282,7
CAMK2B,44220061,44325421,7
NUDCD3,44383711,44490600,7
NPC1L1,44513446,44541651,7
DDX56,44566001,44573895,7
TMED4,44579478,44582206,7
OGDH,44624343,44707999,7
ZMIZ2,44756249,44767623,7
LOC105375259,44796353,44796353,7
PPIA,44796724,44801642,7
LOC105375260,44825929,44825929,7
H2AFV,44830143,44847971,7
LINC01952,44849565,44849565,7
MIR4657,44881800,44881800,7
PURB,44884409,44885348,7
LOC105375262,44908780,44908780,7
MYO1G,44962738,44979105,7
SNORA9,44985510,44985510,7
SNHG15,44986696,44986696,7
LOC102723334,44999647,45000100,7
CCM2,45000333,45076470,7
"NACAD",45080508,45089452,7
TBRG4,45100324,45111669,7
SNORA5A,45104482,45104482,7
SNORA5C,45105042,45105042,7
SNORA5B,45106099,45106099,7
RAMP3,45157828,45183412,7
LOC107986736,45260064,45260064,7
LOC107986737,45499266,45499266,7
ADCY1,45574543,45713995,7
SEPT7P2,45769018,45769018,7
GTF2IP13,45782731,45805139,7
LOC730234,45807910,45807910,7
IGFBP1,45888652,45893091,7
IGFBP3,45914819,45921140,7
LOC102723446,45995393,46038224,7
LOC105375264,46024391,46024391,7
LOC105375265,46353153,46353153,7
LOC105375266,46481578,46481587,7
LOC730338,46697122,46697122,7
LOC105375267,46972684,46972684,7
LOC105375268,47079809,47079809,7
TNS3,47278075,47582471,7
SNORD151,47464803,47464803,7
LINC01447,47629893,47629893,7
C7orf65,47655278,47659228,7
LINC00525,47766772,47766772,7
PKD1L1,47775142,47952360,7
C7orf69,47795335,47819597,7
HUS1,47965355,47979625,7
SUN3,47987329,48029127,7
LOC105375270,47987442,47987442,7
C7orf57,48036308,48060272,7
UPP1,48094783,48108746,7
LOC105375271,48114996,48114996,7
ABCA13,48171483,48645512,7
LOC105375272,48669491,48669491,7
LOC105375273,48711484,48711484,7
CDC14C,48924672,48926016,7
VWC2,49775435,49923777,7
ZPBP,49850475,50093258,7
SPATA48,50096085,50159169,7
IKZF1,50303482,50400627,7
FIGNL1,50445262,50447287,7
DDC,50463230,50544085,7
DDC-AS1,50543463,50543463,7
GRB10,50592951,50792524,7
COBL,51017550,51316633,7
LOC107986794,51392032,51392656,7
LOC102723533,51402733,51402733,7
LOC105375277,51579388,51579388,7
LOC105375278,51717668,51717668,7
LOC107986738,52022328,52022328,7
LOC107986796,52359049,52359049,7
LOC101928257,52774861,52774861,7
POM121L12,53035671,53036562,7
LOC105375282,53398861,53418888,7
GS1-278J22.2,53574529,53574529,7
LINC01446,53811931,53811931,7
LOC107986739,53947767,53947767,7
HPVC1,54202421,54202421,7
LINC01445,54349845,54349845,7
VSTM2A,54542730,54571080,7
VSTM2A-OT1,54571726,54571726,7
SEC61G,54752410,54757588,7
LOC100996654,54804969,54804969,7
LOC105375284,54996037,55019208,7
EGFR,55019277,55205617,7
LOC107986797,55088166,55089075,7
EGFR-AS1,55188949,55188949,7
ELDR,55255635,55255635,7
LANCL2,55366025,55431320,7
VOPP1,55435965,55572324,7
LOC107986798,55521065,55521065,7
LOC105375287,55596183,55596183,7
FKBP9P1,55688032,55704567,7
LOC101060341,55746847,55748503,7
LOC102723656,55758569,55758569,7
SEPT14,55795912,55861996,7
ZNF713,55912636,55940006,7
MRPS17,55953195,55955178,7
NIPSNAP2,55964609,55999072,7
PSPH,56011761,56051595,7
CCT6A,56051848,56063085,7
SNORA22B,56055502,56055502,7
SNORA15,56060602,56060602,7
SUMF2,56064254,56080670,7
PHKG1,56081053,56092996,7
CHCHD2,56101803,56106413,7
NUPR2,56116020,56116314,7
LOC105375288,56126403,56126403,7
LOC107986800,56377321,56380828,7
LOC105375292,56388473,56388473,7
LOC101930109,56408802,56408802,7
LOC650226,56448375,56448375,7
LOC100240728,56483319,56483319,7
DKFZp434L192,56497284,56497284,7
LOC101928401,56538130,56538130,7
LOC105375291,56617795,56617795,7
LOC105375289,56669561,56669561,7
LOC102723684,56675080,56675080,7
LOC401357,56812736,56812736,7
LOC112267996,56814734,56815283,7
LOC112267997,56824077,56824626,7
LOC107986801,56825819,56826368,7
LOC105375294,56849683,56849683,7
LOC105375295,56861428,56862321,7
LOC100130849,56882146,56882146,7
MIR4283-1,56955864,56955864,7
ZNF479,57119839,57139616,7
LOC105375296,57148387,57148387,7
GUSBP10,57180156,57180156,7
LOC105375297,57222174,57222174,7
LOC105375298,57243415,57245856,7
LOC105375299,57404148,57404148,7
MIR3147,57405090,57405090,7
LOC100653233,57412147,57412147,7
ZNF716,57450288,57469949,7
LOC105375300,57520654,57520654,7
LOC105375301,57549935,57549935,7
LOC105375302,57817507,57817507,7
LOC102723842,57868134,57868134,7
ZNF733P,63304056,63304056,7
LOC102724738,63350066,63350066,7
LOC100287704,63351774,63351774,7
LOC101929114,63353898,63353898,7
LOC101929088,63381445,63381446,7
LOC101929050,63393725,63394237,7
LOC101929022,63395439,63395439,7
LOC100287834,63399041,63399041,7
MIR4283-2,63621169,63621169,7
LOC105375313,63707101,63707101,7
LOC105375314,63718963,63718963,7
LOC105375315,63729625,63739626,7
LOC112267919,63750648,63751182,7
LOC107986729,63751409,63751898,7
LOC112268001,63752471,63753005,7
LOC112268005,63754246,63754780,7
LOC100996414,63754999,63755497,7
LOC112268000,63756070,63756604,7
LOC100996365,63756822,63757320,7
LOC112268002,63757893,63758427,7
LOC112268003,63759716,63760250,7
LOC107986804,63760468,63760966,7
LOC112268004,63761395,63761929,7
LOC107986803,63762147,63762645,7
LOC107986805,63765042,63765654,7
LOC107986730,63771577,63771577,7
LOC107986806,63917997,63925205,7
LOC105375318,63955265,63958166,7
ZNF722P,64023525,64023525,7
LINC01005,64030102,64030102,7
LOC105375317,64039410,64039410,7
ZNF727,64045621,64085184,7
ZNF735,64207202,64220290,7
LOC105375319,64227621,64227621,7
ZNF679,64249117,64266869,7
LOC105375323,64289922,64292262,7
LOC105375322,64299750,64307968,7
ZNF736,64314150,64349147,7
LOC105375321,64374770,64374770,7
LOC105375324,64412499,64412499,7
YWHAEP1,64435520,64435520,7
ZNF680,64521160,64563135,7
LOC641746,64583751,64583751,7
LOC100128885,64618589,64618589,7
LOC105375326,64636078,64636078,7
ZNF107,64666282,64708656,7
MIR6839,64679176,64679176,7
ZNF138,64794568,64853800,7
LOC441239,64888336,64889739,7
ZNF273,64903317,64931577,7
LOC105375328,64950665,64950665,7
ERV3-1-ZNF117,64978118,64981420,7
ZNF117,64978118,64981420,7
ERV3-1,64991211,65006746,7
LOC105375329,65029426,65029426,7
LOC105375330,65037396,65038261,7
SNORA22C,65066132,65066132,7
SNORA15B-1,65070672,65070672,7
CCT6P3,65074713,65074713,7
INTS4P1,65234222,65234222,7
LOC105375334,65338975,65350187,7
ZNF92,65373997,65399875,7
LOC101929322,65499355,65554744,7
LOC105375333,65553537,65553682,7
